postal_code,lat,lon,place
82040,55.5833,23.4167,Reksčių k.
82043,55.6833,23.4,Šiaulėnai
82046,55.75,23.25,Tyruliai
82052,55.85,23.6333,Aukštelkų k.
82055,55.6889,23.7722,Alksniupių k.
82058,55.65,23.8167,Palonų
80001,55.9167,23.4333,SB „Kruoja“
80010,55.8,23.1333,Bazilionai
80013,55.8167,23.0917,Aukštelkės k.
80016,55.8167,23.0917,Bubių k.
80019,55.8333,23.05,Sodeliukų k.
80025,55.9828,23.1311,Užkalnių k.
80028,55.9828,23.1311,Kužiai
81006,56.0032,22.9366,Dirvonėnų vienk.
81009,56.0032,22.9366,Raudėnų k.
81015,56.1794,23.1244,Šakyna
81018,56.1794,23.1244,Šiupylių k.
81021,56.074,23.2347,Verbūnų k.
81024,56.074,23.2347,Dargaudžių k.
81030,56.0827,23.1326,Naisių k.
81033,56.0827,23.1326,Ginkūnų k.
72028,55.0933,21.8919,Bardinų k.
99014,55.2867,21.8278,Kiūpelių k.
99023,55.12,22.1286,Keleriškių k.
99032,55.1381,21.9089,Dinkių k.
99035,55.1381,21.9089,Šunelių k.
72001,55.2333,22.2667,Butkelių k.
73001,55.2436,22.4658,Deferencijos k.
73004,55.2436,22.4658,Paikojų lll k.
73010,55.3108,22.0308,Žilučių k.
73014,55.3108,22.0308,Putokšlių k.
73017,55.3108,22.0308,Gaudaičių k.
73021,55.365,22.2328,Gudlaukio k.
73025,55.3858,22.4085,Griaužų k.
73028,55.4067,22.5842,Sauslaukio k.
73032,55.3494,22.5142,Gerviečių k.
75001,55.4906,22.1814,Šilalė
75008,55.4906,22.1814,Negėrų k.
75011,55.4492,22.445,Lingių Fermos k.
75014,55.4492,22.445,Vytogalos k.
75017,55.4492,22.445,Vartulėnų k.
75020,55.4242,22.0251,Kalniškių k.
75023,55.4617,21.9122,Teneniai
75026,55.4672,21.9882,Stirbiškės k.
75029,55.5589,21.9903,Gražjūrio k.
75032,55.6269,22.1983,Palokysčio k.
75035,55.6269,22.1983,Padievyčio k.
75038,55.6333,22.1667,Degutaliai
75041,55.5639,22.4514,Strazdalių k.
75044,55.5639,22.4514,Butkaičių k.
75047,55.5639,22.4514,Jakaičių k.
74001,55.0872,22.7394,Rotulių k.
74006,55.0814,22.6596,Dainių l k.
74009,55.0756,22.5797,Užbalių k.
74012,55.0742,22.3842,Viešvilė
74015,55.0742,22.3842,Liudvinavos k.
74018,55.0742,22.3842,Kažemėkų k.
74021,55.2631,22.7211,Rudžių k.
74024,55.2631,22.7211,Lybiškių k.
74027,55.2631,22.7211,Trakų k.
74030,55.2553,22.9189,Bebirvų k.
74033,55.2303,22.9947,Šimkaičiai
